negation_type,target,report_language_group,detector_combination,rule_combination,phenotype,evidence_instances,unique_evidence_texts,unique_studies,example_evidence,classification_basis
explicit_normality,ACL,cyrillic_script,v2_collective,cruciate_ligaments,abnormality_absent,130,29,129,кръстните връзки са със запазена цялост.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,cyrillic_script,v2_exact,<no_explicit_rule>,abnormality_absent,11,8,11,предна кръстна връзка се проследява до залавните си места и е с нормална форма.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,cyrillic_script,v3_target,target_local_normality,normal_structure,12,9,12,предна кръстна връзка се проследява до залавните си места и е с нормална форма.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,dutch,v2_collective,cruciate_ligaments,abnormality_absent,55,15,55,kruisbanden en laterale banden intact.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,dutch,v2_exact,<no_explicit_rule>,abnormality_absent,42,4,42,intacte voorste kruisband.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,dutch,v3_target,target_local_normality,normal_structure,42,4,42,intacte voorste kruisband.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,english,v2_collective,cruciate_and_collateral_ligaments,abnormality_absent,51,17,51,intact cruciate and collateral ligaments.,"existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,english,v2_collective,cruciate_ligaments,abnormality_absent,116,17,116,"in the intercondylar notch, the anterior and posterior cruciate ligaments are intact.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,english,v2_exact,<no_explicit_rule>,abnormality_absent,729,65,729,"normal acl, pcl, mcl and lcl.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
explicit_normality,ACL,english,v3_target,target_local_normality,normal_structure,750,76,744,"normal acl, pcl, mcl and lcl.","existing NEGATION_TERMS, POSTPOSED_NEGATION_TERMS, NORMALITY_TERMS and stored spans"
