context_structure,target,status,detector,phenotype,rule,selected_evidence_instances,unique_study_target_pairs
collective,ACL,negative,v2_collective,abnormality_absent,cruciate_and_collateral_ligaments,81,81
collective,ACL,negative,v2_collective,abnormality_absent,cruciate_and_collateral_ligaments|cruciate_ligaments,272,272
collective,ACL,negative,v2_collective,abnormality_absent,cruciate_ligaments,604,602
collective,Lateral Meniscus,negative,v2_collective,abnormality_absent,both_menisci,39,39
collective,Lateral Meniscus,negative,v2_collective,abnormality_absent,both_menisci_negative_only,240,239
collective,Lateral Meniscus,negative,v2_collective,abnormality_absent,both_menisci|both_menisci_negative_only,224,224
collective,Lateral Meniscus,positive,v2_collective,degeneration,both_menisci,7,6
collective,Lateral Meniscus,positive,v2_collective,tear,both_menisci,30,22
collective,Lateral OA,negative,v2_collective,abnormality_absent,tibiofemoral_compartments,168,168
collective,Lateral OA,positive,v2_collective,abnormality,tibiofemoral_compartments,1,1
collective,Lateral OA,positive,v2_collective,chondral_abnormality,tibiofemoral_compartments,46,28
collective,Lateral OA,positive,v2_collective,tear,lateral_and_patellofemoral_compartments,1,1
collective,MCL,negative,v2_collective,abnormality_absent,collateral_ligaments,802,799
collective,MCL,negative,v2_collective,abnormality_absent,collateral_ligaments|cruciate_and_collateral_ligaments,112,112
collective,MCL,negative,v2_collective,abnormality_absent,cruciate_and_collateral_ligaments,240,240
collective,Medial Meniscus,negative,v2_collective,abnormality_absent,both_menisci,106,106
collective,Medial Meniscus,negative,v2_collective,abnormality_absent,both_menisci_negative_only,236,236
collective,Medial Meniscus,negative,v2_collective,abnormality_absent,both_menisci|both_menisci_negative_only,229,229
collective,Medial Meniscus,positive,v2_collective,degeneration,both_menisci,19,18
collective,Medial Meniscus,positive,v2_collective,sprain,both_menisci,1,1
collective,Medial Meniscus,positive,v2_collective,tear,both_menisci,22,21
collective,Medial Meniscus,uncertain,v2_collective,tear,both_menisci,2,2
collective,Medial OA,negative,v2_collective,abnormality_absent,tibiofemoral_compartments,180,180
collective,Medial OA,positive,v2_collective,abnormality,tibiofemoral_compartments,4,4
collective,Medial OA,positive,v2_collective,chondral_abnormality,tibiofemoral_compartments,45,27
collective,Medial OA,positive,v2_collective,degeneration,tibiofemoral_compartments,1,1
collective,PF OA,negative,v2_collective,abnormality_absent,tibiofemoral_compartments,112,112
collective,PF OA,positive,v2_collective,abnormality,tibiofemoral_compartments,2,2
collective,PF OA,positive,v2_collective,chondral_abnormality,tibiofemoral_compartments,42,27
collective,PF OA,positive,v2_collective,degeneration,tibiofemoral_compartments,1,1
collective,PF OA,positive,v2_collective,tear,lateral_and_patellofemoral_compartments,1,1
collective,PF OA,positive,v2_collective,tear,tibiofemoral_compartments,1,1
linked_two_clauses,ACL,negative,v3_target,abnormality_absent,target_local_association,7,7
linked_two_clauses,ACL,negative,v3_target,normal_structure,target_local_normality,8,8
linked_two_clauses,ACL,negative,v3_target|v2_exact,abnormality_absent,target_local_association,2,2
linked_two_clauses,ACL,positive,v3_target,abnormality,target_local_association,3,3
linked_two_clauses,ACL,positive,v3_target,avulsion,target_local_association,3,2
linked_two_clauses,ACL,positive,v3_target,degeneration,target_local_association,2,2
linked_two_clauses,ACL,positive,v3_target,tear,target_local_association,34,29
linked_two_clauses,ACL,positive,v3_target|v2_exact,degeneration,target_local_association,2,2
linked_two_clauses,ACL,positive,v3_target|v2_exact,tear,target_local_association,27,27
linked_two_clauses,ACL,uncertain,v3_target,degeneration,target_local_association,1,1
linked_two_clauses,ACL,uncertain,v3_target,tear,target_local_association,4,4
linked_two_clauses,ACL,uncertain,v3_target|v2_exact,tear,target_local_association,1,1
linked_two_clauses,Baker's,negative,v3_morphology,baker_cyst_absent,baker_sl,2,2
linked_two_clauses,Baker's,negative,v3_morphology,baker_cyst_absent,baker_variants,1,1
linked_two_clauses,Baker's,positive,v3_morphology,baker_cyst,baker_el,3,3
linked_two_clauses,Baker's,positive,v3_morphology,baker_cyst,baker_sl,1,1
linked_two_clauses,Baker's,positive,v3_morphology,baker_cyst,baker_sl|baker_variants,1,1
linked_two_clauses,Baker's,positive,v3_morphology,baker_cyst,baker_variants,46,45
linked_two_clauses,Baker's,uncertain,v3_morphology,baker_cyst,baker_variants,2,2
linked_two_clauses,Contusion,negative,v3_morphology,bone_contusion_absent,contusion_en,1,1
linked_two_clauses,Contusion,positive,v3_morphology,bone_contusion,contusion_en,19,19
linked_two_clauses,Contusion,uncertain,v3_morphology,bone_contusion,contusion_en,2,2
linked_two_clauses,Effusion,negative,v3_morphology,joint_effusion_absent,effusion_de_root,1,1
linked_two_clauses,Effusion,negative,v3_morphology,joint_effusion_absent,effusion_el_root,9,9
linked_two_clauses,Effusion,negative,v3_morphology,joint_effusion_absent,effusion_en_plural,29,29
linked_two_clauses,Effusion,positive,v3_morphology,joint_effusion,effusion_el_root,3,3
linked_two_clauses,Effusion,positive,v3_morphology,joint_effusion,effusion_en_plural,74,72
linked_two_clauses,Effusion,uncertain,v3_morphology,joint_effusion,effusion_en_plural,1,1
linked_two_clauses,Fracture,negative,v3_morphology,fracture_absent,fracture_en,9,9
linked_two_clauses,Fracture,negative,v3_morphology,fracture_absent,fracture_en|fracture_fr,23,23
linked_two_clauses,Fracture,positive,v3_morphology,fracture,fracture_en,3,3
linked_two_clauses,Fracture,positive,v3_morphology|v2_exact,fracture,fracture_en,15,15
linked_two_clauses,Fracture,uncertain,v3_morphology,fracture,fracture_en,2,2
linked_two_clauses,Fracture,uncertain,v3_morphology|v2_exact,fracture,fracture_en,2,2
linked_two_clauses,Lateral Meniscus,negative,v3_target,abnormality_absent,target_local_association,3,3
linked_two_clauses,Lateral Meniscus,negative,v3_target,normal_structure,target_local_normality,13,12
linked_two_clauses,Lateral Meniscus,negative,v3_target|v2_exact,abnormality_absent,target_local_association,3,3
linked_two_clauses,Lateral Meniscus,positive,v3_target,abnormality,target_local_association,7,7
linked_two_clauses,Lateral Meniscus,positive,v3_target,degeneration,target_local_association,1,1
linked_two_clauses,Lateral Meniscus,positive,v3_target,extrusion,target_local_association,1,1
linked_two_clauses,Lateral Meniscus,positive,v3_target,tear,target_local_association,6,6
linked_two_clauses,Lateral Meniscus,positive,v3_target|v2_exact,abnormality,target_local_association,12,12
linked_two_clauses,Lateral Meniscus,positive,v3_target|v2_exact,avulsion,target_local_association,1,1
linked_two_clauses,Lateral Meniscus,positive,v3_target|v2_exact,degeneration,target_local_association,6,6
linked_two_clauses,Lateral Meniscus,positive,v3_target|v2_exact,extrusion,target_local_association,2,2
linked_two_clauses,Lateral Meniscus,positive,v3_target|v2_exact,tear,target_local_association,15,15
linked_two_clauses,Lateral Meniscus,uncertain,v3_target,tear,target_local_association,2,2
linked_two_clauses,Lateral Meniscus,uncertain,v3_target|v2_exact,abnormality,target_local_association,1,1
linked_two_clauses,Lateral Meniscus,uncertain,v3_target|v2_exact,tear,target_local_association,2,2
linked_two_clauses,Lateral OA,negative,v3_target,normal_cartilage,compartment_normality,1,1
linked_two_clauses,Lateral OA,positive,v3_target,chondral_abnormality,compartment_scope,12,12
linked_two_clauses,Lateral OA,positive,v3_target|v2_exact,chondral_abnormality,compartment_scope,7,7
