target,language_group,detector,rule,phenotype,uncertainty_pattern,evidence_instances,unique_evidence_texts,duplicate_rate_excess,example_evidence
ACL,dutch,v3_target|v2_exact,target_local_association,abnormality,vermoeden,1,1,0.0,sterk vermoeden volledige scheur voorste kruisband.
ACL,english,v3_target,target_local_association,degeneration,suspect,1,1,0.0,impression: 1) suspect mild mucoid degeneration of acl.
ACL,english,v3_target,target_local_association,tear,suspect,2,2,0.0,impression: 1) suspect partial tear of acl and pcl.
ACL,english,v3_target,target_local_association,tear,suspected,1,1,0.0,suspected lowgrade intrasubstance tear of distal anteromedial bundle of acl.
ACL,english,v3_target|v2_exact,target_local_association,abnormality,suspected,1,1,0.0,suspected grade 2 injury of acl
ACL,english,v3_target|v2_exact,target_local_association,degeneration,suspect,3,3,0.0,* increase interstitial intensity of acl and proximal pcl with straight linear contour suspect degenerative change
ACL,english,v3_target|v2_exact,target_local_association,sprain,likely,1,1,0.0,"anterior cruciate ligament: mild signal abnormality involving the acl ligament at the posterior insertion to the femur, likely related to a mild sprain."
ACL,english,v3_target|v2_exact,target_local_association,tear,likely,3,3,0.0,"conclusion: mild thickening and edema of the anterior cruciate ligament suggestive of a low grade partial thickness tearing, however in the absence of trauma would more likely represent mucoid degeneration."
ACL,english,v3_target|v2_exact,target_local_association,tear,probable,2,2,0.0,"in the intercondylar notch, there is probable interstitial partial tear of the anterior cruciate ligament."
ACL,english,v3_target|v2_exact,target_local_association,tear,suspect,3,3,0.0,suspect partial acl tear.
ACL,english,v3_target|v2_exact,target_local_association,tear,suspected,5,5,0.0,"in the intercondylar notch, there is suspected chronic partial tear of the anterior cruciate ligament, at mid substance."
ACL,english,v3_target|v2_exact,target_local_association,tear,suspicious,3,3,0.0,"in the intercondylar notch, there is suspicious chronic partial tear of the anterior cruciate ligament."
ACL,french,v3_target|v2_exact,target_local_association,abnormality,probable,1,1,0.0,dechirure partielle probable du ligament croise anterieur.
ACL,south_slavic,v3_target,target_local_association,degeneration,moguce,2,2,0.0,vidi se blagi hiperintenzitet kaudalne dvije trecine prednjeg kriznog ligamenta moguce uslijed distenzije ili pocetne mukoidne degeneracije.
ACL,south_slavic,v3_target,target_local_association,degeneration,moze odgovarati,1,1,0.0,"prednji krizni ligament odrzanog kontinuiteta, na hvatistu za tibiju vidljive sitne ganglion ciste moze odgovarati blazim degenerativnim promjenama."
ACL,south_slavic,v3_target,target_local_association,degeneration,vjerojatno,2,2,0.0,"prednji krizni ligament odrzanog kontinuiteta, u distalnoj trecini promijenjenih intenziteta signala, vjerojatno uslijed degenerativnih promjena."
